ID,LANGUAGE_KEY,RESIDENCIA_ORIGEN_DES,LOAD_TIME
9993,2,Hungary,
9012,2,Basque Country,
9014,2,Ceuta and Melilla,
9978,2,Germany,
9960,2,Mexico,
9962,2,Venezuela,
9979,2,Austria,
16420,2,Total,
16432,2,Europe minus EU28,
9985,2,Netherlands,
9990,2,United Kingdom,
10005,2,United States of America,
9981,2,Denmark,
9982,2,Finland,
9991,2,Sweden,
10006,2,Rest of America,
23378,2,China,
23385,2,Israel,
292757,2,Taiwan,
298012,2,Nordic countries,
9947,2,Africa,
9948,2,America (excluding USA),
9988,2,Luxembourg,
9996,2,Poland,
9997,2,Czech Republic,
23364,2,Colombia,
382515,2,Rest of the world,
9964,2,New Zealand,
9965,2,America,
9966,2,Asia,
9994,2,Iceland,
10009,2,Other countries,
23265,2,Slovak Republic,
9013,2,"Rioja, La",
10000,2,Russia,
23374,2,Saudi Arabia,
9984,2,Greece,
23259,2,Romania,
23272,2,Andorra,
382495,2,Rest of America,
370030,2,Asia (excluding Japan and China),
9975,3,Total ,
19964,3,Residents a Espanya,
19965,3,Residents a l'Estranger,
8995,3,Melilla,
8997,3,Andalusia,
8998,3,Aragó,
8999,3,"Astúries, Principat de",
9000,3,"*Balears, *Illes",
9001,3,Canàries,
9002,3,Cantàbria,
9003,3,Castella i Lleó,
9006,3,Comunitat Valenciana,
9007,3,Extremadura,
9008,3,Galícia,
9009,3,"Madrid, Comunitat de",
9010,3,"Múrcia, Regió de",
9011,3,"Navarra, Comunitat Foral de",
9015,3,Ceuta,
9946,3,UE28 sense Espanya,
9980,3,Bèlgica,
9983,3,França,
9987,3,Itàlia,
9989,3,Portugal,
9998,3,Suïssa,
10001,3,Altres Països Europeus,
10011,3,Resta del Món,
16473,3,Total Nacional,
370095,3,UE27_2020 sense Espanya,
9995,3,Noruega,
10004,3,Brasil,
10007,3,Japó,
23365,3,Xile,
23379,3,Unió dels Emirats Àrabs,
23380,3,Filipines,
23381,3,Índia,
9004,3,Castella - La Manxa,
9005,3,Catalunya,
9961,3,Canadà,
9986,3,Irlanda,
9999,3,Turquia,
10003,3,Argentina,
23399,3,Corea,
23312,3,Marroc,
10010,3,Resta UE,
10008,3,Austràlia,
9963,3,Àsia (sense el Japó),
9993,3,Hongria,
9012,3,País Basc,
9014,3,Ceuta i Melilla,
9978,3,Alemanya,
9960,3,Mèxic,
9962,3,Veneçuela,
9979,3,Àustria,
16420,3,Total,
16432,3,Europa menys UE28,
9985,3,Països Baixos,
9990,3,Regne Unit,
10005,3,Estats Units d'Amèrica,
9981,3,Dinamarca,
9982,3,Finlàndia,
9991,3,Suècia,
10006,3,Resta Amèrica,
23378,3,Xina,
23385,3,Israel,
292757,3,Taiwan,
298012,3,Països Nòrdics,
9947,3,Àfrica,
9948,3,Amèrica (sense els EUA),
9988,3,Luxemburg,
9996,3,Polònia,
9997,3,República Txeca,
23364,3,Colòmbia,
382515,3,Resta del món,
9964,3,Nova Zelanda,
9965,3,Amèrica,
9966,3,Àsia,
9994,3,Islàndia,
10009,3,Altres Països,
23265,3,República Eslovaca,
9013,3,"Rioja, La",
10000,3,Rússia,
23374,3,Aràbia Saudita,
9984,3,Grècia,
23259,3,Romania,
23272,3,Andorra,
382495,3,Resta d'Amèrica,
370030,3,Àsia (sense el Japó ni la Xina),
