ID,LANGUAGE_KEY,PUNTO_TURISTICO_DES,LOAD_TIME
2451,1,Sallent de Gállego,
4929,1,Plasencia,
2433,1,Murcia,
2813,1,Madrid,
4725,1,Córdoba,
6208,1,Pamplona,
6575,1,Vigo,
8002,1,Bilbao,
1765,1,Villajoyosa,
2483,1,Isla Cristina,
6064,1,Mojácar,
7794,1,Oliva,
489,1,Santander,
564,1,Burgos,
565,1,Ciudad Real,
570,1,Lugo,
1434,1,San Bartolomé de Tirajana,
1841,1,Calvià,
2576,1,Naut Aran,
2939,1,Estepona,
3275,1,Lleida,
3655,1,Jaca,
4803,1,Castelló de la Plana,
7013,1,Segovia,
7744,1,Gandia,
16474,1,Palencia,
4760,1,Tarifa,
560,1,Almería,
1608,1,Roquetas de Mar,
1790,1,Níjar,
1857,1,Sant Llorenç des Cardassar,
5421,1,Sitges,
5955,1,Dénia,
6569,1,Sanxenxo,
6509,1,Teguise,
942,1,Cullera,
1390,1,Alajeró,
1399,1,"Llanos de Aridane, Los",
1404,1,San Miguel de Abona,
3522,1,Segura de la Sierra,
4199,1,Capileira,
5662,1,Alcúdia,
5974,1,Jávea,
6812,1,Breña Baja,
2438,1,San Javier,
6016,1,Teulada,
4534,1,"Coruña, A",
491,1,Tarragona,
2541,1,Fortuna,
4128,1,Torroella de Montgrí,
3601,1,Benasque,
490,1,Soria,
2127,1,Arcos de la Frontera,
5075,1,Cáceres,
6541,1,"Grove, O",
6807,1,Adeje,
2587,1,Santiago-Pontones,
4272,1,Blanes,
7268,1,Cambrils,
484,1,Logroño,
559,1,Albacete,
2113,1,Trujillo,
3933,1,Sigüenza,
6330,1,Cangas de Onís,
6519,1,Yaiza,
4339,1,Lloret de Mar,
5600,1,Mérida,
1394,1,Frontera,
1409,1,Tazacorte,
1411,1,Valle Gran Rey,
2823,1,Mijas,
3153,1,Ezcaray,
4003,1,Alpujarra de la Sierra,
5511,1,Castelldefels,
5939,1,Calp,
6335,1,Cudillero,
6821,1,El Paso,
6828,1,Santiago del Teide,
3029,1,Viveiro,
3015,1,Ribadeo,
1427,1,Antigua,
1432,1,La Oliva,
3490,1,La Iruela,
4178,1,Almuñécar,
485,2,Málaga,
488,2,Salamanca,
493,2,València,
494,2,Zaragoza,
495,2,Valladolid,
563,2,Barcelona,
568,2,Granada,
571,2,Vitoria-Gasteiz,
572,2,San Sebastián,
888,2,Toledo,
1524,2,Oviedo,
1853,2,Palma,
2131,2,Chiclana de la Frontera,
2537,2,Cartagena,
4581,2,Santiago de Compostela,
4983,2,Cádiz,
6191,2,Alicante,
6827,2,Santa Cruz de Tenerife,
1100,2,Mont-roig del Camp,
2632,2,Vélez-Málaga,
2642,2,Águilas,
4238,2,Motril,
4296,2,"Castell d'Aro, Platja d'Aro i s'Agaró",
4794,2,Benicasim,
5942,2,"Campello, el",
6345,2,Llanes,
492,2,Teruel,
562,2,Badajoz,
566,2,Cuenca,
638,2,Zamora,
3473,2,Cazorla,
7357,2,Albarracín,
8071,2,Benavente,
2135,2,El Puerto de Santa María,
2924,2,Benalmádena,
5957,2,Elx/Elche,
6020,2,Torrevieja,
6338,2,Gijón,
7112,2,Sevilla,
2245,2,Peñíscola,
4295,2,Castelló d'Empúries,
4384,2,Sant Pere Pescador,
4840,2,Oropesa del Mar,
561,2,Ávila,
1431,2,Mogán,
2758,2,Antequera,
2828,2,Nerja,
3363,2,Ponferrada,
6513,2,Tías,
486,2,Ourense,
2836,2,Ronda,
3339,2,Vielha e Mijaran,
6381,2,Villaviciosa,
6504,2,Pájara,
5668,2,Capdepera,
7351,2,Salou,
1405,2,Santa Cruz de la Palma,
1641,2,"Alfàs del Pi, l'",
6817,2,Granadilla de Abona,
6826,2,San Sebastián de la Gomera,
1401,2,Puerto de la Cruz,
1433,2,Las Palmas de Gran Canaria,
1648,2,Benidorm,
2132,2,Jerez de la Frontera,
2639,2,Torremolinos,
2822,2,Marbella,
2941,2,Fuengirola,
5675,2,Eivissa,
2429,2,Mazarrón,
4984,2,Conil de la Frontera,
569,2,León,
1391,2,Arona,
2126,2,Algeciras,
2451,2,Sallent de Gállego,
4929,2,Plasencia,
2433,2,Murcia,
2813,2,Madrid,
4725,2,Córdoba,
6208,2,Pamplona,
6575,2,Vigo,
8002,2,Bilbao,
1765,2,Villajoyosa,
2483,2,Isla Cristina,
6064,2,Mojácar,
7794,2,Oliva,
489,2,Santander,
564,2,Burgos,
565,2,Ciudad Real,
570,2,Lugo,
1434,2,San Bartolomé de Tirajana,
1841,2,Calvià,
2576,2,Naut Aran,
2939,2,Estepona,
3275,2,Lleida,
3655,2,Jaca,
4803,2,Castelló de la Plana,
7013,2,Segovia,
7744,2,Gandia,
16474,2,Palencia,
4760,2,Tarifa,
560,2,Almería,
1608,2,Roquetas de Mar,
1790,2,Níjar,
1857,2,Sant Llorenç des Cardassar,
5421,2,Sitges,
5955,2,Dénia,
6569,2,Sanxenxo,
6509,2,Teguise,
942,2,Cullera,
1390,2,Alajeró,
1399,2,"Llanos de Aridane, Los",
1404,2,San Miguel de Abona,
3522,2,Segura de la Sierra,
4199,2,Capileira,
5662,2,Alcúdia,
5974,2,Jávea,
6812,2,Breña Baja,
2438,2,San Javier,
6016,2,Teulada,
4534,2,"Coruña, A",
491,2,Tarragona,
2541,2,Fortuna,
4128,2,Torroella de Montgrí,
3601,2,Benasque,
490,2,Soria,
2127,2,Arcos de la Frontera,
5075,2,Cáceres,
6541,2,"Grove, O",
6807,2,Adeje,
2587,2,Santiago-Pontones,
4272,2,Blanes,
7268,2,Cambrils,
484,2,Logroño,
559,2,Albacete,
2113,2,Trujillo,
3933,2,Sigüenza,
6330,2,Cangas de Onís,
6519,2,Yaiza,
4339,2,Lloret de Mar,
5600,2,Mérida,
1394,2,Frontera,
1409,2,Tazacorte,
1411,2,Valle Gran Rey,
2823,2,Mijas,
3153,2,Ezcaray,
4003,2,Alpujarra de la Sierra,
5511,2,Castelldefels,
5939,2,Calp,
6335,2,Cudillero,
6821,2,El Paso,
6828,2,Santiago del Teide,
3029,2,Viveiro,
3015,2,Ribadeo,
1427,2,Antigua,
1432,2,La Oliva,
3490,2,La Iruela,
4178,2,Almuñécar,
485,3,Màlaga,
488,3,Salamanca,
493,3,València,
494,3,Saragossa,
495,3,Valladolid,
563,3,Barcelona,
568,3,Granada,
571,3,Vitòria-Gasteiz,
572,3,Sant Sebastià,
888,3,Toledo,
1524,3,Oviedo,
1853,3,Palma,
2131,3,Chiclana de la Frontera,
2537,3,Cartagena,
4581,3,Santiago de Compostel·la,
4983,3,Cadis,
6191,3,Alacant,
6827,3,Santa Cruz de Tenerife,
1100,3,Mont-roig del Camp,
2632,3,Vélez-Málaga,
2642,3,Águilas,
4238,3,Motril,
4296,3,"Castell d'Aro, *Platja d'Cércol i s'*Agaró",
4794,3,Benicàssim,
5942,3,"el Campello, el",
6345,3,Llanes,
492,3,Teruel,
562,3,Badajoz,
566,3,Cuenca,
638,3,Zamora,
3473,3,Cazorla,
7357,3,Albarrasí,
8071,3,*Benavente,
2135,3,El Puerto de Santa María,
2924,3,Benalmàdena,
5957,3,Elx/Elx,
6020,3,Torrevieja,
6338,3,Gijón,
7112,3,Sevilla,
2245,3,Peníscola,
4295,3,Castelló d'Empúries,
4384,3,Sant Pere Pescador,
4840,3,Orpesa,
561,3,Ávila,
1431,3,Mogán,
2758,3,Antequera,
2828,3,*Nerja,
3363,3,Ponferrada,
6513,3,Ties,
486,3,Orense,
2836,3,Ronda,
3339,3,Vielha e Mijaran,
6381,3,Villaviciosa,
6504,3,*Pájara,
5668,3,Capdepera,
7351,3,Salou,
1405,3,Santa Cruz de la Palma,
1641,3,"Alfàs del Pi, l'",
6817,3,Granadilla de Abona,
6826,3,San Sebastián de la Gomera,
1401,3,Puerto de la Cruz,
1433,3,Las Palmas de Gran Canaria,
1648,3,Benidorm,
2132,3,Jerez de la Frontera,
2639,3,*Torremolinos,
2822,3,Marbella,
2941,3,*Fuengirola,
5675,3,Eivissa,
2429,3,Mazarrón,
4984,3,Conil de la Frontera,
569,3,León,
1391,3,Arona,
2126,3,Algesires,
2451,3,Sallent de Gállego,
4929,3,Plasència,
2433,3,Murcia,
2813,3,Madrid,
4725,3,Córdoba,
6208,3,Pamplona,
6575,3,Vigo,
8002,3,Bilbao,
1765,3,la Vila Joiosa,
2483,3,Illa Cristina,
6064,3,Mojácar,
7794,3,Oliva,
489,3,Santander,
564,3,Burgos,
565,3,Ciudad Real,
570,3,Lugo,
1434,3,Sant Bartolomé de Tirajana,
1841,3,Calvià,
2576,3,Naut Aran,
2939,3,Estepona,
3275,3,Lleida,
3655,3,Jaca,
4803,3,Castelló de la Plana,
7013,3,Segòvia,
7744,3,Gandia,
16474,3,Palència,
4760,3,Tarifa,
560,3,Almería,
1608,3,Roquetas de Mar,
1790,3,*Níjar,
1857,3,Sant Llorenç des Cardassar,
5421,3,Sitges,
5955,3,Dénia,
6569,3,*Sanxenxo,
6509,3,*Teguise,
942,3,Cullera,
1390,3,*Alajeró,
1399,3,"Plans de *Aridane, Els",
1404,3,San Miguel de *Abona,
3522,3,Segura de la Serra,
4199,3,*Capileira,
5662,3,Alcúdia,
5974,3,Xàbia,
6812,3,*Breña Baixa,
2438,3,San Javier,
6016,3,Teulada,
4534,3,"*Coruña, A",
491,3,Tarragona,
2541,3,Fortuna,
4128,3,Torroella de Montgrí,
3601,3,Benasc,
490,3,Soria,
2127,3,Arcos de la Frontera,
5075,3,Càceres,
6541,3,"*Grove, O",
6807,3,*Adeje,
2587,3,Santiago-Pontons,
4272,3,Blanes,
7268,3,Cambrils,
484,3,Logronyo,
559,3,Albacete,
2113,3,Trujillo,
3933,3,Sigüenza,
6330,3,Cangas de Onís,
6519,3,Yaiza,
4339,3,Lloret de Mar,
5600,3,Mèrida,
1394,3,Davantera,
1409,3,*Tazacorte,
1411,3,Valle *Gran Rei,
2823,3,*Mijas,
3153,3,*Ezcaray,
4003,3,Alpujarra de la Sierra,
5511,3,Castelldefels,
5939,3,Calp,
6335,3,Cudillero,
6821,3,El Pas,
6828,3,Santiago del Teide,
3029,3,Viveiro,
3015,3,*Ribadeo,
1427,3,Antiga,
1432,3,L'Oliva,
3490,3,La *Iruela,
4178,3,Almuñécar,
